dataset,method,sample_id,graph_path,Nodes,Edges,Density,Avg Degree,Degree Mean,Degree Std,Degree Min,Degree Max,Transitivity,Avg Clustering,Connected Components,LCC Size,LCC Fraction,Assortativity,Avg Shortest Path (LCC),Diameter (LCC),_raw_nodes,_raw_edges,_raw_is_directed,_raw_is_multigraph,_raw_selfloops,node_overlap_ref_frac,node_overlap_common,status,error
football,EC-SBM,19,results\final\final_dataset\EC-SBM\football_19.gml,115.0,657.0,0.10022883295194508,11.42608695652174,11.42608695652174,1.6368626914617588,7.0,18.0,0.45145631067961167,0.4427000266002822,1.0,115.0,1.0,0.15775987609374562,2.4260869565217393,4.0,115.0,657.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,2,results\final\final_dataset\EC-SBM\football_2.gml,115.0,661.0,0.10083905415713196,11.495652173913044,11.495652173913044,1.805180530745396,7.0,19.0,0.44042105263157894,0.43569573006374746,1.0,115.0,1.0,0.1265225097148868,2.4204424103737603,4.0,115.0,661.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,20,results\final\final_dataset\EC-SBM\football_20.gml,115.0,657.0,0.10022883295194508,11.42608695652174,11.42608695652174,1.6368626914617588,7.0,18.0,0.44503141062250146,0.4376719713931993,1.0,115.0,1.0,0.10280209296534257,2.4231884057971014,4.0,115.0,657.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,21,results\final\final_dataset\EC-SBM\football_21.gml,115.0,658.0,0.1003813882532418,11.443478260869565,11.443478260869565,1.6846690003771538,7.0,18.0,0.44477611940298506,0.43500813196465393,1.0,115.0,1.0,0.18231277948591174,2.427765064836003,4.0,115.0,658.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,22,results\final\final_dataset\EC-SBM\football_22.gml,115.0,660.0,0.10068649885583524,11.478260869565217,11.478260869565217,1.7759153235148617,7.0,19.0,0.4438495138791039,0.44097922418288565,1.0,115.0,1.0,0.08215760807166254,2.4147978642257817,4.0,115.0,660.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,23,results\final\final_dataset\EC-SBM\football_23.gml,115.0,659.0,0.10053394355453853,11.460869565217392,11.460869565217392,1.7459864859367396,7.0,19.0,0.4451831942283208,0.44033136230067205,1.0,115.0,1.0,0.11016105121896337,2.4231884057971014,4.0,115.0,659.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,24,results\final\final_dataset\EC-SBM\football_24.gml,115.0,659.0,0.10053394355453853,11.460869565217392,11.460869565217392,1.7359971775259517,7.0,19.0,0.4474317249186359,0.4419576972585454,1.0,115.0,1.0,0.14441896578396587,2.4395118230358506,4.0,115.0,659.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,25,results\final\final_dataset\EC-SBM\football_25.gml,115.0,661.0,0.10083905415713196,11.495652173913044,11.495652173913044,1.7760430519824888,7.0,18.0,0.4441635061104088,0.4388429970143524,1.0,115.0,1.0,0.10371778544753983,2.426697177726926,4.0,115.0,661.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,26,results\final\final_dataset\EC-SBM\football_26.gml,115.0,658.0,0.1003813882532418,11.443478260869565,11.443478260869565,1.7204211028892145,7.0,19.0,0.4532803180914513,0.4486840184538395,1.0,115.0,1.0,0.18016095826314343,2.4312738367658278,4.0,115.0,658.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,27,results\final\final_dataset\EC-SBM\football_27.gml,115.0,660.0,0.10068649885583524,11.478260869565217,11.478260869565217,1.7611647632323948,7.0,19.0,0.446574570059205,0.4412924844557638,1.0,115.0,1.0,0.15804693722190744,2.420747520976354,4.0,115.0,660.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,28,results\final\final_dataset\EC-SBM\football_28.gml,115.0,661.0,0.10083905415713196,11.495652173913044,11.495652173913044,1.78580836911213,7.0,19.0,0.44698778261480127,0.4429194931240968,1.0,115.0,1.0,0.13745175694576864,2.428985507246377,4.0,115.0,661.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,29,results\final\final_dataset\EC-SBM\football_29.gml,115.0,659.0,0.10053394355453853,11.460869565217392,11.460869565217392,1.7359971775259522,7.0,18.0,0.44658270836281305,0.4407629270416998,1.0,115.0,1.0,0.09284932087478291,2.4327993897787947,4.0,115.0,659.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,3,results\final\final_dataset\EC-SBM\football_3.gml,115.0,658.0,0.1003813882532418,11.443478260869565,11.443478260869565,1.642857025443526,7.0,18.0,0.44912480432617047,0.4415184928739918,1.0,115.0,1.0,0.16388751294464696,2.4260869565217393,4.0,115.0,658.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,4,results\final\final_dataset\EC-SBM\football_4.gml,115.0,659.0,0.10053394355453853,11.460869565217392,11.460869565217392,1.7259500548053004,7.0,18.0,0.4454352441613588,0.43886908204043773,1.0,115.0,1.0,0.1579176634177511,2.4233409610983982,4.0,115.0,659.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,5,results\final\final_dataset\EC-SBM\football_5.gml,115.0,660.0,0.10068649885583524,11.478260869565217,11.478260869565217,1.7512620348068317,7.0,19.0,0.4467005076142132,0.44325162401350315,1.0,115.0,1.0,0.16535451039456595,2.428985507246377,4.0,115.0,660.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,6,results\final\final_dataset\EC-SBM\football_6.gml,115.0,659.0,0.10053394355453853,11.460869565217392,11.460869565217392,1.735997177525952,7.0,19.0,0.44615820008490165,0.43928789163006443,1.0,115.0,1.0,0.1606720781394901,2.435392829900839,4.0,115.0,659.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,7,results\final\final_dataset\EC-SBM\football_7.gml,115.0,658.0,0.1003813882532418,11.443478260869565,11.443478260869565,1.7102824803437848,7.0,19.0,0.44360795454545454,0.43681692060949046,1.0,115.0,1.0,0.15612747051049947,2.424408848207475,4.0,115.0,658.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,8,results\final\final_dataset\EC-SBM\football_8.gml,115.0,659.0,0.10053394355453853,11.460869565217392,11.460869565217392,1.7005725712075006,7.0,18.0,0.45042492917847027,0.4441807553060752,1.0,115.0,1.0,0.15612786434399933,2.42837528604119,4.0,115.0,659.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,9,results\final\final_dataset\EC-SBM\football_9.gml,115.0,658.0,0.1003813882532418,11.443478260869565,11.443478260869565,1.7051905636095523,7.0,18.0,0.4556044892740446,0.44978743904575125,1.0,115.0,1.0,0.11930914627793213,2.4285278413424867,4.0,115.0,658.0,0.0,0.0,0.0,1.0,115,ok,
karate,EC-SBM,0,results\final\final_dataset\EC-SBM\karate_0.gml,34.0,76.0,0.1354723707664884,4.470588235294118,4.470588235294118,3.5499402987328494,1.0,16.0,0.2196652719665272,0.42104300927830346,1.0,34.0,1.0,-0.34910248474666267,2.242424242424242,4.0,34.0,76.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,1,results\final\final_dataset\EC-SBM\karate_1.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.26136363636363635,0.4365759672853098,1.0,34.0,1.0,-0.26989998629949336,2.2245989304812834,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,10,results\final\final_dataset\EC-SBM\karate_10.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.2215909090909091,0.3943264828212925,1.0,34.0,1.0,-0.299287573640225,2.212121212121212,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,11,results\final\final_dataset\EC-SBM\karate_11.gml,34.0,77.0,0.13725490196078433,4.529411764705882,4.529411764705882,3.8289554259587875,1.0,17.0,0.2648752399232246,0.4477242144629688,1.0,34.0,1.0,-0.26415863879458434,2.2210338680926918,3.0,34.0,77.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,12,results\final\final_dataset\EC-SBM\karate_12.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.22727272727272727,0.40811313830344975,1.0,34.0,1.0,-0.30552130428825885,2.212121212121212,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,13,results\final\final_dataset\EC-SBM\karate_13.gml,34.0,77.0,0.13725490196078433,4.529411764705882,4.529411764705882,3.735641484542924,1.0,16.0,0.22986247544204322,0.42324717765894243,1.0,34.0,1.0,-0.2721835874433831,2.228163992869875,4.0,34.0,77.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,14,results\final\final_dataset\EC-SBM\karate_14.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.8203606779128276,1.0,17.0,0.25,0.48811995386389845,1.0,34.0,1.0,-0.32600356213179926,2.233511586452763,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,15,results\final\final_dataset\EC-SBM\karate_15.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.23863636363636365,0.36116659676348256,1.0,34.0,1.0,-0.285929579394438,2.2245989304812834,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,16,results\final\final_dataset\EC-SBM\karate_16.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.25,0.43898806403131657,1.0,34.0,1.0,-0.4048157281819431,2.2263814616755795,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,17,results\final\final_dataset\EC-SBM\karate_17.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.2159090909090909,0.3940394428716228,1.0,34.0,1.0,-0.3188792985340461,2.206773618538324,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,18,results\final\final_dataset\EC-SBM\karate_18.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.23863636363636365,0.5079794484638775,1.0,34.0,1.0,-0.3861145362378408,2.196078431372549,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,19,results\final\final_dataset\EC-SBM\karate_19.gml,34.0,77.0,0.13725490196078433,4.529411764705882,4.529411764705882,3.672115067062026,1.0,16.0,0.2275449101796407,0.36853089720736776,1.0,34.0,1.0,-0.31806512109160284,2.2245989304812834,4.0,34.0,77.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,2,results\final\final_dataset\EC-SBM\karate_2.gml,34.0,77.0,0.13725490196078433,4.529411764705882,4.529411764705882,3.8212662985674624,1.0,17.0,0.2423076923076923,0.5220911537520534,1.0,34.0,1.0,-0.3854790634099279,2.2032085561497325,4.0,34.0,77.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,20,results\final\final_dataset\EC-SBM\karate_20.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.24431818181818182,0.5112959176540491,1.0,34.0,1.0,-0.369639676668037,2.215686274509804,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,21,results\final\final_dataset\EC-SBM\karate_21.gml,34.0,77.0,0.13725490196078433,4.529411764705882,4.529411764705882,3.813561667936643,1.0,17.0,0.23121387283236994,0.41149819999300963,1.0,34.0,1.0,-0.35110958197144293,2.237076648841355,4.0,34.0,77.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,22,results\final\final_dataset\EC-SBM\karate_22.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.23863636363636365,0.3603002341756668,1.0,34.0,1.0,-0.2765789834223867,2.2085561497326203,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,23,results\final\final_dataset\EC-SBM\karate_23.gml,34.0,77.0,0.13725490196078433,4.529411764705882,4.529411764705882,3.735641484542924,1.0,17.0,0.2180746561886051,0.4499183006535949,1.0,34.0,1.0,-0.3350375104195611,2.228163992869875,4.0,34.0,77.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,24,results\final\final_dataset\EC-SBM\karate_24.gml,34.0,77.0,0.13725490196078433,4.529411764705882,4.529411764705882,3.813561667936643,1.0,17.0,0.26011560693641617,0.44948446401733605,1.0,34.0,1.0,-0.28708641550547626,2.237076648841355,4.0,34.0,77.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,25,results\final\final_dataset\EC-SBM\karate_25.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.2215909090909091,0.39943902694767747,1.0,34.0,1.0,-0.30240443896424174,2.2032085561497325,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,26,results\final\final_dataset\EC-SBM\karate_26.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.19886363636363635,0.390909964698892,1.0,34.0,1.0,-0.3411426222770246,2.1729055258467023,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,27,results\final\final_dataset\EC-SBM\karate_27.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.26704545454545453,0.4410034602076125,1.0,34.0,1.0,-0.2823674475955613,2.242424242424242,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,28,results\final\final_dataset\EC-SBM\karate_28.gml,34.0,77.0,0.13725490196078433,4.529411764705882,4.529411764705882,3.751355003177064,1.0,17.0,0.2583170254403131,0.46413816863643864,1.0,34.0,1.0,-0.2428945859611764,2.229946524064171,3.0,34.0,77.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,29,results\final\final_dataset\EC-SBM\karate_29.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.8203606779128276,1.0,17.0,0.22727272727272727,0.4332179930795847,1.0,34.0,1.0,-0.2863748458692971,2.201426024955437,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,3,results\final\final_dataset\EC-SBM\karate_3.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.23863636363636365,0.3522465135786935,1.0,34.0,1.0,-0.24763666255651437,2.2192513368983957,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,4,results\final\final_dataset\EC-SBM\karate_4.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.22727272727272727,0.4963139177239524,1.0,34.0,1.0,-0.2992875736402251,2.213903743315508,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,5,results\final\final_dataset\EC-SBM\karate_5.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.24431818181818182,0.44315167243367937,1.0,34.0,1.0,-0.2934991094670506,2.2103386809269163,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,6,results\final\final_dataset\EC-SBM\karate_6.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.24431818181818182,0.44016243752402917,1.0,34.0,1.0,-0.29528017536648815,2.2174688057040997,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,7,results\final\final_dataset\EC-SBM\karate_7.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.23295454545454544,0.36111635384991786,1.0,34.0,1.0,-0.28058638169612315,2.212121212121212,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,8,results\final\final_dataset\EC-SBM\karate_8.gml,34.0,78.0,0.13903743315508021,4.588235294117647,4.588235294117647,3.820360677912828,1.0,17.0,0.2556818181818182,0.4979321764356368,1.0,34.0,1.0,-0.2814769146458416,2.2263814616755795,4.0,34.0,78.0,0.0,0.0,0.0,1.0,34,ok,
karate,EC-SBM,9,results\final\final_dataset\EC-SBM\karate_9.gml,34.0,77.0,0.13725490196078433,4.529411764705882,4.529411764705882,3.8442875429398837,1.0,17.0,0.25239005736137665,0.5193505120408235,1.0,34.0,1.0,-0.29250095209518656,2.2192513368983957,3.0,34.0,77.0,0.0,0.0,0.0,1.0,34,ok,
polbooks,EC-SBM,0,results\final\final_dataset\EC-SBM\polbooks_0.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.1847781003732891,0.2079118677105332,1.0,105.0,1.0,-0.09858648402309182,2.4864468864468865,5.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,1,results\final\final_dataset\EC-SBM\polbooks_1.gml,105.0,440.0,0.08058608058608059,8.380952380952381,8.380952380952381,5.443005039027182,2.0,25.0,0.1848844472204872,0.21297487016370537,1.0,105.0,1.0,-0.14871793485661003,2.505860805860806,5.0,105.0,440.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,10,results\final\final_dataset\EC-SBM\polbooks_10.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.17917876399834093,0.22042814013690687,1.0,105.0,1.0,-0.13697154806398446,2.4877289377289378,5.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,11,results\final\final_dataset\EC-SBM\polbooks_11.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.19659892160929074,0.23353056117427395,1.0,105.0,1.0,-0.1479316244890973,2.525274725274725,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,12,results\final\final_dataset\EC-SBM\polbooks_12.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.19037743674823723,0.2164772963762253,1.0,105.0,1.0,-0.10587667060450094,2.4967032967032967,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,13,results\final\final_dataset\EC-SBM\polbooks_13.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.4486346039736455,2.0,25.0,0.19286603069265865,0.2090735295268495,1.0,105.0,1.0,-0.09556130455733647,2.506043956043956,5.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,14,results\final\final_dataset\EC-SBM\polbooks_14.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.4486346039736455,2.0,25.0,0.18228950642886768,0.21375583875158904,1.0,105.0,1.0,-0.11559691937971417,2.4655677655677657,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,15,results\final\final_dataset\EC-SBM\polbooks_15.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.19784321858150145,0.23375931247825185,1.0,105.0,1.0,-0.12953258216458738,2.5007326007326007,5.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,16,results\final\final_dataset\EC-SBM\polbooks_16.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.205931148900871,0.24012977202281657,1.0,105.0,1.0,-0.1192172161174219,2.4996336996336996,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,17,results\final\final_dataset\EC-SBM\polbooks_17.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.18540024885939443,0.21808353611261128,1.0,105.0,1.0,-0.15289093508869608,2.5247252747252746,5.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,18,results\final\final_dataset\EC-SBM\polbooks_18.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.1909995852343426,0.23065709327013467,1.0,105.0,1.0,-0.16786805309948402,2.4943223443223443,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,19,results\final\final_dataset\EC-SBM\polbooks_19.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.4486346039736455,2.0,25.0,0.19286603069265865,0.23968844381209042,1.0,105.0,1.0,-0.1727281774870907,2.4732600732600734,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,2,results\final\final_dataset\EC-SBM\polbooks_2.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.4486346039736455,2.0,25.0,0.1984653670676068,0.23889188978022316,1.0,105.0,1.0,-0.1374674791239449,2.5164835164835164,5.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,20,results\final\final_dataset\EC-SBM\polbooks_20.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.20655329738697636,0.24482238893861297,1.0,105.0,1.0,-0.09070118016972895,2.4946886446886447,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,21,results\final\final_dataset\EC-SBM\polbooks_21.gml,105.0,440.0,0.08058608058608059,8.380952380952381,8.380952380952381,5.432496492459943,2.0,25.0,0.20012507817385866,0.24749284837481675,1.0,105.0,1.0,-0.1533503244360072,2.4974358974358974,4.0,105.0,440.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,22,results\final\final_dataset\EC-SBM\polbooks_22.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.4486346039736455,2.0,25.0,0.20468685192866032,0.2469774026630168,1.0,105.0,1.0,-0.10572789128651278,2.513919413919414,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,23,results\final\final_dataset\EC-SBM\polbooks_23.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.21090833678971382,0.2563856109277335,1.0,105.0,1.0,-0.15269256266471215,2.523076923076923,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,24,results\final\final_dataset\EC-SBM\polbooks_24.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.1922438822065533,0.23025672053362753,1.0,105.0,1.0,-0.13627724458004056,2.4994505494505495,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,25,results\final\final_dataset\EC-SBM\polbooks_25.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.19411032766486935,0.22485777825485145,1.0,105.0,1.0,-0.11658878149963371,2.5023809523809524,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,26,results\final\final_dataset\EC-SBM\polbooks_26.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.19348817917876399,0.2152192010560373,1.0,105.0,1.0,-0.1407406241196791,2.506043956043956,4.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
polbooks,EC-SBM,27,results\final\final_dataset\EC-SBM\polbooks_27.gml,105.0,441.0,0.08076923076923077,8.4,8.4,5.448634603973646,2.0,25.0,0.20779759435918707,0.2546008630532021,1.0,105.0,1.0,-0.12427571292901189,2.536996336996337,5.0,105.0,441.0,0.0,0.0,0.0,1.0,105,ok,
